3,1,1091.01,486.30,31.84,110.80,1.00,-1,-1,-1
3,2,1256.92,447.57,34.15,100.50,1.00,-1,-1,-1
3,3,446.59,448.15,105.40,280.18,1.00,-1,-1,-1
3,4,1056.21,484.12,34.86,108.77,1.00,-1,-1,-1
3,5,585.95,449.71,87.93,260.04,1.00,-1,-1,-1
3,6,1098.73,439.09,39.42,110.82,1.00,-1,-1,-1
3,7,1448.67,428.62,164.18,348.41,1.00,-1,-1,-1
3,8,933.58,435.72,42.79,114.68,1.00,-1,-1,-1
3,9,1015.04,430.07,41.16,117.23,1.00,-1,-1,-1
3,10,1349.54,425.07,168.09,371.64,1.00,-1,-1,-1
3,11,975.34,455.71,32.44,79.99,1.00,-1,-1,-1
3,12,636.33,456.53,65.88,190.35,1.00,-1,-1,-1
3,13,421.00,459.14,37.16,80.82,1.00,-1,-1,-1
3,14,547.35,464.06,36.56,93.45,1.00,-1,-1,-1
3,15,578.34,431.40,19.92,44.88,1.00,-1,-1,-1
3,16,595.21,428.55,17.89,40.52,1.00,-1,-1,-1
4,1,1091.07,485.91,31.77,110.59,1.00,-1,-1,-1
4,2,1257.02,447.87,33.95,99.87,1.00,-1,-1,-1
4,3,447.91,448.71,105.33,279.28,1.00,-1,-1,-1
4,4,1055.14,482.59,35.19,109.88,1.00,-1,-1,-1
4,5,585.66,449.83,87.91,260.18,1.00,-1,-1,-1
4,6,1098.81,439.12,39.27,110.38,1.00,-1,-1,-1
4,7,1454.80,429.46,163.15,346.62,1.00,-1,-1,-1
4,8,933.58,435.43,42.83,114.92,1.00,-1,-1,-1
4,9,1015.08,430.48,41.07,116.96,1.00,-1,-1,-1
4,10,1358.71,422.51,169.22,373.98,1.00,-1,-1,-1
4,11,976.51,455.93,31.69,78.03,1.00,-1,-1,-1
4,12,637.66,456.91,65.83,190.38,1.00,-1,-1,-1
4,13,421.08,459.01,37.16,80.74,1.00,-1,-1,-1
4,14,547.36,464.04,36.74,93.97,1.00,-1,-1,-1
4,15,578.10,431.30,20.01,45.09,1.00,-1,-1,-1
4,16,595.24,428.08,18.03,40.92,1.00,-1,-1,-1
5,1,1091.02,485.83,31.86,110.98,1.00,-1,-1,-1
5,2,1256.98,447.77,34.03,100.08,1.00,-1,-1,-1
5,3,449.06,447.87,105.95,279.93,1.00,-1,-1,-1
5,4,1056.06,483.90,34.86,108.71,1.00,-1,-1,-1
5,5,585.86,450.16,87.81,260.19,1.00,-1,-1,-1
5,6,1098.76,439.17,39.37,110.68,1.00,-1,-1,-1
5,7,1459.62,431.25,160.91,341.92,1.00,-1,-1,-1
5,8,933.64,435.64,42.71,114.37,1.00,-1,-1,-1
5,9,1015.07,430.57,41.09,116.99,1.00,-1,-1,-1
5,10,1366.52,422.24,169.08,373.53,1.00,-1,-1,-1
5,11,977.34,455.63,31.52,77.54,1.00,-1,-1,-1
5,12,637.93,457.82,65.55,189.89,1.00,-1,-1,-1
5,13,420.89,459.13,37.05,80.36,1.00,-1,-1,-1
5,14,547.13,463.60,36.71,93.96,1.00,-1,-1,-1
5,15,578.28,430.47,20.05,45.17,1.00,-1,-1,-1
5,16,595.56,427.80,17.96,40.76,1.00,-1,-1,-1
6,1,1091.02,485.88,31.84,110.97,1.00,-1,-1,-1
6,2,1257.04,447.95,33.91,99.72,1.00,-1,-1,-1
6,3,449.52,447.92,106.46,279.98,1.00,-1,-1,-1
6,4,1055.60,482.23,35.25,109.97,1.00,-1,-1,-1
6,5,585.89,450.32,87.86,260.60,1.00,-1,-1,-1
6,6,1098.15,438.74,39.54,111.17,1.00,-1,-1,-1
6,7,1462.72,429.18,162.90,346.74,1.00,-1,-1,-1
6,8,933.51,435.66,42.95,114.80,1.00,-1,-1,-1
6,9,1014.52,431.27,41.16,117.24,1.00,-1,-1,-1
6,10,1373.43,421.22,169.17,374.73,1.00,-1,-1,-1
6,11,978.64,455.39,31.43,77.15,1.00,-1,-1,-1
6,12,640.04,457.00,65.99,191.46,1.00,-1,-1,-1
6,13,420.95,459.26,36.77,79.53,1.00,-1,-1,-1
6,14,547.06,462.96,36.67,93.93,1.00,-1,-1,-1
